ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
4;6;2018-;4;-26;0,4;2018-04-26
4;6;2018-;4;-27;0,3;2018-04-27
4;6;2018-;4;-28;0,3;2018-04-28
4;6;2018-;4;-29;0,3;2018-04-29
4;6;2018-;4;-30;0,3;2018-04-30
4;6;2018-;5;-01;0,3;2018-05-01
4;6;2018-;5;-02;0,3;2018-05-02
4;6;2018-;5;-03;0,4;2018-05-03
4;6;2018-;5;-04;0,4;2018-05-04
4;6;2018-;5;-05;0,4;2018-05-05
4;6;2018-;5;-06;0,3;2018-05-06
4;6;2018-;5;-07;0,4;2018-05-07
4;6;2018-;5;-08;0,5;2018-05-08
4;6;2018-;5;-09;0,4;2018-05-09
4;6;2018-;5;-10;0,4;2018-05-10
4;6;2018-;5;-11;0,3;2018-05-11
4;6;2018-;5;-12;0,3;2018-05-12
4;6;2018-;5;-13;0,3;2018-05-13
4;6;2018-;5;-14;0,3;2018-05-14
4;6;2018-;5;-15;0,3;2018-05-15
4;6;2018-;5;-16;0,3;2018-05-16
4;6;2018-;5;-17;0,3;2018-05-17
4;6;2018-;5;-18;0,4;2018-05-18
4;6;2018-;5;-19;0,4;2018-05-19
4;6;2018-;5;-20;0,3;2018-05-20
4;6;2018-;5;-21;0,3;2018-05-21
4;6;2018-;5;-22;0,4;2018-05-22
4;6;2018-;5;-23;0,4;2018-05-23
4;6;2018-;5;-24;0,4;2018-05-24
4;6;2018-;5;-25;0,3;2018-05-25
4;6;2018-;5;-26;0,3;2018-05-26
4;6;2018-;5;-27;0,3;2018-05-27
4;6;2018-;5;-28;0,3;2018-05-28
4;6;2018-;5;-29;0,4;2018-05-29
4;6;2018-;5;-30;0,3;2018-05-30
4;6;2018-;5;-31;0,3;2018-05-31
4;6;2018-;6;-01;0,3;2018-06-01
4;6;2018-;6;-02;0,3;2018-06-02
4;6;2018-;6;-03;0,3;2018-06-03
4;6;2018-;6;-04;0,2;2018-06-04
4;6;2018-;6;-05;0,3;2018-06-05
4;6;2018-;6;-06;0,3;2018-06-06
4;6;2018-;6;-07;0,3;2018-06-07
4;6;2018-;6;-08;0,3;2018-06-08
4;6;2018-;6;-09;0,3;2018-06-09
4;6;2018-;6;-10;0,3;2018-06-10
4;6;2018-;6;-11;0,3;2018-06-11
4;6;2018-;6;-12;0,3;2018-06-12
4;6;2018-;6;-13;0,3;2018-06-13
4;6;2018-;6;-14;0,3;2018-06-14
4;6;2018-;6;-15;0,4;2018-06-15
4;6;2018-;6;-16;0,3;2018-06-16
4;6;2018-;6;-17;0,3;2018-06-17
4;6;2018-;6;-18;0,3;2018-06-18
4;6;2018-;6;-19;0,3;2018-06-19
4;6;2018-;6;-20;0,3;2018-06-20
4;6;2018-;6;-21;0,3;2018-06-21
4;6;2018-;6;-22;0,4;2018-06-22
4;6;2018-;6;-23;0,3;2018-06-23
4;6;2018-;6;-24;0,3;2018-06-24
4;6;2018-;6;-25;0,3;2018-06-25
4;6;2018-;6;-26;0,3;2018-06-26
4;6;2018-;6;-27;0,3;2018-06-27
4;6;2018-;6;-28;0,3;2018-06-28
4;6;2018-;6;-29;0,3;2018-06-29
4;6;2018-;6;-30;0,3;2018-06-30
4;6;2018-;7;-01;0,2;2018-07-01
4;6;2018-;7;-02;0,2;2018-07-02
4;6;2018-;7;-03;0,3;2018-07-03
4;6;2018-;7;-04;0,3;2018-07-04
4;6;2018-;7;-05;0,3;2018-07-05
4;6;2018-;7;-06;0,3;2018-07-06
4;6;2018-;7;-07;0,4;2018-07-07
4;6;2018-;7;-08;0,3;2018-07-08
4;6;2018-;7;-09;0,3;2018-07-09
4;6;2018-;7;-10;0,3;2018-07-10
4;6;2018-;7;-11;0,3;2018-07-11
4;6;2018-;7;-12;0,3;2018-07-12
4;6;2018-;7;-13;0,3;2018-07-13
4;6;2018-;7;-14;0,3;2018-07-14
4;6;2018-;7;-15;0,2;2018-07-15
4;6;2018-;7;-16;0,2;2018-07-16
4;6;2018-;7;-17;0,3;2018-07-17
4;6;2018-;7;-18;0,3;2018-07-18
4;6;2018-;7;-19;0,3;2018-07-19
4;6;2018-;7;-20;0,3;2018-07-20
4;6;2018-;7;-21;0,2;2018-07-21
4;6;2018-;7;-22;0,3;2018-07-22
4;6;2018-;7;-23;0,3;2018-07-23
